"hhid","h04_sex","h14_cls_wkr","h06_status","urb","age_group"
"3941700000000063417",1,0,2,2,"50 to 59"
"1856400000000042564",1,0,4,2,"40 to 49"
"3683700000000060837",1,0,2,1,"40 to 49"
"3037700000000054377",1,0,4,1,"40 to 49"
"3507200000000059072",1,0,3,1,"60 to 69"
"3400500000000058005",1,0,2,1,"50 to 59"
"3038000000000054380",1,0,2,1,"40 to 49"
"996000000000033960",1,0,2,1,"60 to 69"
"1854000000000042540",1,0,2,2,"60 to 69"
"3673700000000060737",1,0,2,1,"50 to 59"
"3603900000000060039",1,0,2,1,"40 to 49"
"2156100000000045561",1,0,4,2,"50 to 59"
"3264900000000056649",1,0,2,1,"50 to 59"
"2316700000000047167",1,0,2,2,"40 to 49"
"3942000000000063420",1,0,2,2,"50 to 59"
"174400000000025744",1,0,2,2,"30 to 39"
"3603700000000060037",1,0,2,1,"50 to 59"
"1478700000000038787",1,0,2,1,"30 to 39"
"200700000000026007",1,0,2,2,"50 to 59"
"3727600000000061276",1,0,2,1,"50 to 59"
"3509800000000059098",1,0,2,1,"30 to 39"
"1732000000000041320",1,0,2,1,"30 to 39"
"991300000000033913",1,0,2,1,"50 to 59"
"628200000000030282",1,0,2,2,"18 to 29"
"2002400000000044024",1,0,2,1,"40 to 49"
