REG,HHID,RFACT,FSIZE,CHLD_6_11,CHLD_12_15,CHLD_5_17,PER_18_UP,WRK_HEAD,WRK_18,WRK_5_17,EDUC_6_11,EDUC_12_15,HHMELEM_6_11,HHMHS_12_15,H04_SEX,H05_AGE,H06_STATUS,H08_CUR_ATTEND,H09_CUR_GRADE,H10_YNOT_ATTND,H12_HGC,H13_DID_WORK,H14_CLS_WKR,C16_FAMILL,C20_FAMFIN,URB
14,000114000000000025140,00130.7544,008,0,1,1,1,1,1,0,0,1,00,01,1,63,2,,,,60002,1,2,00,01,2
14,000114100000000025141,00130.7544,005,1,1,1,1,0,1,0,1,0,01,00,1,45,2,,,,24013,1,1,00,01,2
14,000114200000000025142,00130.7544,007,1,1,1,1,1,1,0,1,1,01,01,1,45,2,,,,40811,2,,00,01,2
14,000114300000000025143,00130.7544,005,1,0,1,1,0,1,0,1,0,02,00,1,33,2,,,,24015,1,1,00,00,2
14,000114400000000025144,00130.7544,001,0,0,0,1,0,0,0,0,0,00,00,2,68,3,,,,10012,2,,00,00,2
14,000114500000000025145,00130.7544,003,0,0,0,1,1,1,0,0,0,00,00,1,79,2,,,,10012,2,,01,00,2
14,000114600000000025146,00153.0251,004,0,1,1,1,0,1,0,0,1,00,01,1,50,2,,,,60821,1,2,00,00,2
14,000114700000000025147,00153.0251,007,0,0,0,1,1,1,0,0,0,00,00,1,54,2,,,,24015,1,1,01,00,2
14,000114800000000025148,00153.0251,005,0,0,1,1,0,0,0,0,0,00,00,1,80,1,,,,24015,2,,00,00,2
14,000114900000000025149,00153.0251,004,1,0,1,1,0,0,0,1,0,01,00,2,26,2,,,,24015,2,,00,00,2
14,000115000000000025150,00153.0251,001,0,0,0,1,0,0,0,0,0,00,00,1,94,3,,,,10018,2,,00,00,2
14,000115100000000025151,00153.0251,003,0,0,0,1,1,1,0,0,0,00,00,1,50,2,,,,10015,1,1,00,00,2
14,000115200000000025152,00153.0251,003,0,0,0,1,0,1,0,0,0,00,00,1,66,2,,,,10018,1,3,01,00,2
14,000115300000000025153,00153.0251,008,0,1,1,1,0,1,0,0,1,00,01,1,51,2,,,,24015,1,3,01,00,2
14,000115400000000025154,00153.0251,004,1,1,1,1,0,0,0,1,1,01,01,1,50,2,,,,24012,2,,01,00,2
14,000115500000000025155,00153.0251,007,1,0,1,1,0,1,0,1,0,01,00,1,71,2,,,,10018,1,3,01,00,2
14,000115600000000025156,00153.0251,001,0,0,0,1,0,0,0,0,0,00,00,2,60,3,,,,10015,2,,00,00,2
14,000115700000000025157,00153.0251,005,0,0,0,1,0,1,0,0,0,00,00,1,52,2,,,,50001,1,1,00,00,2
14,000115800000000025158,00153.0251,002,0,0,0,1,0,1,0,0,0,00,00,2,62,2,,,,60111,1,3,00,00,2
14,000115900000000025159,00153.0251,005,1,0,1,1,0,1,0,1,0,03,00,1,49,2,,,,24015,1,3,00,00,2
14,000116000000000025160,00153.0251,007,1,0,1,1,0,1,0,1,0,03,00,1,31,2,,,,24013,1,3,00,00,2
14,000116100000000025161,00130.7544,004,0,0,0,1,1,1,0,0,0,00,00,1,72,2,,,,24012,2,,00,01,2
14,000116200000000025162,00130.7544,003,0,0,0,1,1,1,0,0,0,00,00,1,68,2,,,,24012,2,,00,01,2
14,000116300000000025163,00130.7544,003,0,0,1,1,0,1,0,0,0,00,00,1,53,2,,,,60003,1,1,01,01,2
14,000116400000000025164,00130.7544,001,0,0,0,1,1,1,0,0,0,00,00,2,54,1,,,,60412,1,2,00,01,2
14,000116500000000025165,00130.7544,002,0,0,0,1,0,0,0,0,0,00,00,1,77,2,,,,10011,2,,00,00,2
14,000116600000000025166,00130.7544,002,0,0,0,1,1,1,0,0,0,00,00,2,90,3,,,,10015,2,,00,00,2
14,000116700000000025167,00130.7544,001,0,0,0,1,0,0,0,0,0,00,00,2,70,3,,,,10014,2,,01,00,2
14,000116800000000025168,00171.7825,008,1,1,1,1,1,1,0,1,1,01,01,1,46,2,,,,10013,1,3,01,01,2
14,000116900000000025169,00171.7825,005,0,0,0,1,1,1,0,0,0,00,00,1,24,2,4,,05,60002,1,3,00,00,2
14,000117000000000025170,00171.7825,005,1,1,1,1,0,1,0,1,0,01,00,1,40,2,,,,60732,1,1,00,01,2
14,000117100000000025171,00171.7825,004,0,1,1,1,0,1,0,0,1,00,01,1,55,2,,,,60721,1,2,00,01,2
14,000117200000000025172,00171.7825,006,1,1,1,1,0,1,0,1,1,01,01,2,72,2,,,,10012,1,3,00,01,2
14,000117300000000025173,00171.7825,008,1,1,1,1,0,1,0,1,1,03,01,1,51,2,,,,24015,1,3,00,00,2
14,000117400000000025174,00171.7825,003,0,0,0,1,0,1,0,0,0,00,00,1,50,2,,,,24015,1,1,00,00,2
14,000117500000000025175,00171.7825,009,1,0,1,1,0,1,0,1,0,02,00,1,42,2,,,,24012,1,1,00,00,2
14,000117600000000025176,00171.7825,005,1,1,1,1,0,1,0,1,1,01,01,1,36,2,,,,24015,1,3,00,00,2
14,000117700000000025177,00171.7825,004,1,0,1,1,0,1,0,1,0,01,00,1,29,2,,,,24012,1,1,00,00,2
14,000117800000000025178,00171.7825,004,1,0,1,1,0,1,0,1,0,01,00,1,28,2,,,,10013,1,3,00,00,2
14,000117900000000025179,00171.7825,005,1,1,1,1,1,1,0,1,0,01,00,2,42,2,,,,24015,1,3,00,00,2
14,000118000000000025180,00171.7825,007,1,1,1,1,0,1,0,1,1,01,01,1,42,2,,,,10014,1,3,00,00,2
14,000118100000000025181,00171.7825,001,0,0,0,1,0,1,0,0,0,00,00,1,58,4,,,,60114,1,1,00,01,2
14,000118200000000025182,00171.7825,006,1,1,1,1,0,1,0,1,1,01,02,1,59,2,,,,24015,1,2,00,00,2
14,000118300000000025183,00171.7825,002,0,0,0,1,0,0,0,0,0,00,00,1,60,2,,,,24015,2,,00,01,2
14,000118400000000025184,00171.7825,004,1,0,1,1,0,1,0,1,0,02,00,1,41,2,,,,60111,1,2,00,01,2
14,000118500000000025185,00171.7825,006,0,0,0,1,1,1,0,0,0,00,00,1,51,2,,,,24015,1,3,01,01,2
